workload,kernel,kernel_id,requested_core_clock,requested_mem_clock,effective_core_clock,effective_mem_clock,time_per_launch_mean_ms,energy_per_launch_mean_mJ,auto_time_per_launch_mean_ms,auto_energy_per_launch_mean_mJ,actual_time_ratio,actual_energy_ratio,is_virtual_auto,global_limit,allowed_total_time_ms,auto_total_time_ms,solver_objective_energy_mJ,constraint_name,constraint_limit,selected_actual_energy_saving_pct
3mm,mm3_kernel2,3mm::mm3kernel2,1890,810,1890.0,810.0,0.3304146067107512,78.12970879691676,0.3275530298067474,112.24828037995414,1.0087362248051623,0.6960437035868351,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,30.39562964131649
3mm,mm3_kernel3,3mm::mm3kernel3,1890,810,1890.0,810.0,0.3298696145514644,78.87577922634532,0.3288522854324235,113.16270963498847,1.003093574726729,0.6970121118587808,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,30.298788814121924
atax,atax_kernel1,atax::ataxkernel1,1890,5001,1890.0,5001.0,1.238448736998514,216.9891035165924,1.2237679882525696,296.98164464023495,1.0119963497058844,0.7306481980711437,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,26.935180192885632
atax,atax_kernel2,atax::ataxkernel2,1890,9501,1890.0,9501.0,1.2385769135496656,212.88184295268763,1.216248784046693,241.7205739299611,1.0183581926624277,0.880693933046719,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,11.930606695328105
bicg,bicg_kernel1,bicg::bicgkernel1,1890,9501,1890.0,9501.0,1.2132544881125666,189.0591945657448,1.1971323916686616,219.7598755087384,1.0134672627322636,0.8602989700830403,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,13.970102991695965
bicg,bicg_kernel2,bicg::bicgkernel2,1950,5001,1950.0,5001.0,0.638950677229747,115.99028878098646,0.6395367694078526,134.00882465788465,0.9990835676599982,0.8655421691601409,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,13.445783083985907
correlation,corr_kernel,correlation::corrkernel,1890,9251,1890.0,9251.0,1376.35925,204415.5,1351.50475,243653.5,1.0183902424316302,0.8389598343549344,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,16.104016564506562
correlation,mean_kernel,correlation::meankernel,1890,9251,1890.0,9251.0,0.6129427555773473,86.04719293944595,0.6022942664418213,104.5072271741749,1.0176798779746556,0.8233611709555464,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,17.66388290444536
correlation,reduce_kernel,correlation::reducekernel,1470,9251,1470.0,9251.0,0.0483825089023068,10.704443412292925,0.0463599376923932,16.07854281793569,1.0436275653201637,0.6657595488287699,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,33.424045117123015
correlation,std_kernel,correlation::stdkernel,1890,9251,1890.0,9251.0,0.6182232937685459,86.90046983184965,0.604474492263056,99.23972437137331,1.022745048271626,0.875662144189882,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,12.433785581011803
covariance,covar_kernel,covariance::covarkernel,1950,9251,1950.0,9251.0,1342.44225,226201.25,1348.81175,242987.75,0.9952776953492584,0.9309162704704248,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,6.90837295295752
covariance,mean_kernel,covariance::meankernel,1890,9251,1890.0,9251.0,0.6118324972470328,86.38272360210449,0.6037243419463898,104.34581019077515,1.013430227567937,0.8278504277667804,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,17.21495722332196
covariance,reduce_kernel,covariance::reducekernel,1470,9501,1470.0,9501.0,0.0470496748877868,10.0463626012741,0.0462931264350788,15.581790237760163,1.01634256553765,0.6447502147043557,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,35.524978529564436
doitgen,kernel1,doitgen::kernel1,1890,810,1890.0,810.0,0.0253597023716801,2.665419916097183,0.0242435354754874,4.764261228368753,1.046039774080033,0.5594613284901262,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,44.05386715098738
doitgen,kernel2,doitgen::kernel2,1470,810,1470.0,810.0,0.0064285284864721,0.2877566741034149,0.0062991934528833,0.6842749768820062,1.0205319989862511,0.420527834313945,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,57.9472165686055
euler3d,compute_flux,euler3d::computeflux,1470,9251,1470.0,9251.0,0.0287177917281702,5.849944574950175,0.0256531047822317,8.83643649087523,1.119466511829836,0.6620253063540947,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,33.797469364590526
euler3d,compute_step_factor,euler3d::computestepfactor,1890,810,1890.0,810.0,0.0077916932391581,0.9038471961702992,0.0072604597604343,1.4915873221009406,1.0731680218956303,0.605963313563973,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,39.4036686436027
euler3d,time_step,euler3d::timestep,1470,9501,1470.0,9501.0,0.0095870502245282,1.4050941638001448,0.0088314572408104,2.095693965829387,1.0855569996111385,0.6704672469885498,False,1.01,3265.1996690476644,3232.870959453133,475689.8000016807,1pct,1.01,32.95327530114503
