constraint_name,constraint_limit,feature_set,model,n_kernels,actual_global_energy_saving_pct,actual_global_slowdown_pct,actual_global_time_ratio,actual_global_energy_ratio,pred_global_energy_saving_pct,pred_global_slowdown_pct,global_violates_constraint,global_violation_over_bound_pct,auto_total_time_ms,actual_selected_total_time_ms,pred_selected_total_time_ms,allowed_total_time_ms,auto_total_energy_mJ,actual_selected_total_energy_mJ,pred_selected_total_energy_mJ,auto_selection_rate_pct,measured_oracle_global_energy_saving_pct,measured_oracle_global_slowdown_pct,measured_oracle_global_time_ratio,measured_oracle_global_energy_ratio,global_oracle_gap_pp
1pct,1.01,runtime,extra_trees,65,11.863208876592314,0.3948198313092899,1.003948198313093,0.8813679112340769,12.112558163231203,0.9999992330274043,False,0.0,3232.870959453132,3245.634975121692,3265.1996442524287,3265.1996690476635,568841.4193367948,501358.5735842984,499940.1715630756,6.153846153846154,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,4.512465638058593
1pct,1.01,runtime,xgboost,65,11.56782693060352,0.9898242597672136,1.0098982425976721,0.8843217306939648,11.762705428841603,0.9999977495418255,False,0.0,3232.870959453133,3264.870700496769,3265.199596293255,3265.1996690476644,568841.4193367946,503038.8284383256,501930.27882296586,0.0,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,4.807847584047387
1pct,1.01,ptx_launch,random_forest,65,11.244173524483037,1.4108988984503856,1.0141089889845039,0.8875582647551696,10.236951264407136,0.9999998941296662,True,0.41089889845038474,3232.870959453132,3278.4835002083782,3265.1996656250117,3265.1996690476635,568841.4193367946,504879.9030674333,510609.4004675252,1.5384615384615385,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,5.13150099016787
1pct,1.01,ptx_launch,extra_trees,65,11.30883817030689,1.5635042573970415,1.0156350425739704,0.8869116182969311,11.278522548637094,1.0000000119974262,True,0.5635042573970406,3232.870959453133,3283.417034540335,3265.1996694355257,3265.1996690476644,568841.4193367946,504512.06377831975,504684.511590907,0.0,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,5.066836344344017
1pct,1.01,ptx_launch,xgboost,65,11.033166869469568,0.9734847526942536,1.0097348475269425,0.8896683313053043,10.870271582948032,0.999998822088144,False,0.0,3232.870959453133,3264.34246531769,3265.199630967294,3265.1996690476644,568841.4193367948,506080.1963187071,507006.8121785889,1.5384615384615385,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,5.342507645181339
1pct,1.01,ptx_runtime,random_forest,65,11.037931271703105,0.9533905396277076,1.009533905396277,0.889620687282969,10.722308414814696,0.9999991821734167,False,0.0,3232.870959453132,3263.6928453389296,3265.199642608385,3265.1996690476635,568841.4193367948,506053.0944254189,507848.48796429427,3.076923076923077,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,5.337743242947802
1pct,1.01,ptx_runtime,extra_trees,65,11.37941553529197,1.031759692857137,1.0103175969285714,0.8862058446470803,11.616700598121543,0.9999995418617846,True,0.0317596928571362,3232.870959453133,3266.2264189348543,3265.199654236647,3265.1996690476644,568841.4193367946,504110.5904936081,502760.81477433414,0.0,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,4.996258979358936
1pct,1.01,ptx_runtime,xgboost,65,13.63626193998828,1.0791828076730958,1.010791828076731,0.8636373806001172,13.07392009036673,0.999999627915571,True,0.07918280767309493,3232.870959453133,3267.7595470418073,3265.1996570186548,3265.1996690476644,568841.4193367946,491272.71337288216,494471.5467317942,0.0,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,2.7394125746626266
1pct,1.01,launch_runtime,random_forest,65,11.100846978348521,0.9800883845414665,1.0098008838454147,0.8889915302165148,11.011741542155939,0.9999993184958145,False,0.0,3232.870959453132,3264.5559522139465,3265.1996470155127,3265.1996690476635,568841.4193367946,505695.2038267512,506202.07245469536,1.5384615384615385,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,5.274827536302386
1pct,1.01,launch_runtime,extra_trees,65,11.573865696292152,0.3817236369628274,1.0038172363696283,0.8842613430370785,11.857105392283652,0.9999996040084724,False,0.0,3232.8709594531324,3245.211592057872,3265.199656245769,3265.199669047664,568841.4193367948,503004.4774378721,501393.2927310688,9.230769230769232,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,4.801808818358754
1pct,1.01,launch_runtime,xgboost,65,11.199583660774081,0.9495538079950849,1.0094955380799508,0.8880041633922592,11.579600773288734,0.9999997199162447,False,0.0,3232.870959453133,3263.5688087561875,3265.199659992918,3265.1996690476644,568841.4193367946,505133.54868103564,502971.85394448455,0.0,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,5.1760908538768255
1pct,1.01,ptx_launch_runtime,random_forest,65,11.06719448769936,0.9634296124138686,1.0096342961241387,0.8893280551230064,10.769938690369274,0.9999999226234291,False,0.0,3232.870959453132,3264.0173956076314,3265.1996665461784,3265.1996690476635,568841.4193367946,505886.6331322021,507577.5472287955,1.5384615384615385,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,5.308480026951546
1pct,1.01,ptx_launch_runtime,extra_trees,65,11.434355436691446,0.9543827064935728,1.0095438270649357,0.8856564456330855,11.79175219420172,0.999999849072819,False,0.0,3232.870959453133,3263.7249208134062,3265.199664168383,3265.1996690476644,568841.4193367946,503798.06957870506,501765.04879061994,0.0,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,4.941319077959461
1pct,1.01,ptx_launch_runtime,xgboost,65,12.550458027498056,0.4823889532986181,1.0048238895329862,0.8744954197250194,12.286789982210255,0.9999989770324458,False,0.0,3232.870959453133,3248.465971835934,3265.199635976443,3265.1996690476644,568841.4193367946,497449.21575990604,498949.0688110587,0.0,16.375674514650907,0.9999989366967332,1.009999989366967,0.8362432548534909,3.8252164871528507
2pct,1.02,ptx,random_forest,65,14.111736088629911,2.0882247646730523,1.0208822476467305,0.8588826391137009,13.112093591999907,1.999999926391216,True,0.08822476467305052,3232.870959453132,3300.380571438355,3297.5283762625177,3297.5283786421946,568841.4193367946,488568.0194771696,494254.4000432935,1.5384615384615385,19.17800556490168,1.999337919790567,1.0199933791979057,0.8082199443509832,5.066269476271771
2pct,1.02,ptx,extra_trees,65,14.44628345561949,2.6219635863005353,1.0262196358630054,0.8555371654438051,14.260970060448075,1.99999988719195,True,0.6219635863005335,3232.870959453133,3317.635658802079,3297.528374995257,3297.5283786421955,568841.4193367946,486664.9754864322,487719.11483374645,0.0,19.17800556490168,1.999337919790567,1.0199933791979057,0.8082199443509832,4.731722109282192
2pct,1.02,ptx,xgboost,65,14.03465018928377,2.711111748715922,1.0271111174871592,0.8596534981071623,13.395761589654786,1.9831989253417115,True,0.7111117487159202,3232.870959453132,3320.5177038556913,3296.9852215786905,3297.5283786421946,568841.4193367946,489006.5160011187,492640.77897922916,1.5384615384615385,19.17800556490168,1.999337919790567,1.0199933791979057,0.8082199443509832,5.143355375617912
2pct,1.02,launch,random_forest,65,14.057159973184142,1.8706844917999232,1.0187068449179992,0.8594284002681586,10.840476074233528,1.9999997630396615,False,0.0,3232.870959453133,3293.3477751315263,3297.5283709815735,3297.5283786421955,568841.4193367946,488878.4710268902,507176.301373259,0.0,19.17800556490168,1.999337919790567,1.0199933791979057,0.8082199443509832,5.12084559171754
2pct,1.02,launch,extra_trees,65,14.292077145131387,2.029019407278776,1.0202901940727878,0.8570792285486861,11.313306558237112,1.9999989327600165,True,0.029019407278774167,3232.870959453133,3298.4665386327165,3297.528344139704,3297.5283786421955,568841.4193367946,487542.16485171963,504486.64573699597,0.0,19.17800556490168,1.999337919790567,1.0199933791979057,0.8082199443509832,4.885928419770295
