target_name,feature_set,model,held_out_kernel_id,n_train_rows,n_test_rows,train_s,predict_s,predict_per_row_ms,n_features
energy_ratio,launch,extra_trees,preeuler3d::computeflux,1640,26,0.5099099529907107,0.29802736709825695,11.462591042240652,19
energy_ratio,launch,extra_trees,preeuler3d::computefluxcontributions,1641,25,0.49663454201072454,0.23738121101632714,9.495248440653086,19
energy_ratio,launch,extra_trees,preeuler3d::computestepfactor,1640,26,0.5046377109829336,0.2638029681984335,10.146268007632058,19
energy_ratio,launch,extra_trees,preeuler3d::timestep,1640,26,0.5030680748168379,0.24767498904839158,9.525961117245831,19
energy_ratio,launch,extra_trees,sradv1::compress,1640,26,0.5530692529864609,0.24575470387935638,9.45210399535986,19
energy_ratio,launch,extra_trees,sradv1::extract,1640,26,0.5358291470911354,0.24387791799381375,9.37991992283899,19
energy_ratio,launch,extra_trees,sradv1::prepare,1641,25,0.517975808121264,0.24490255420096219,9.796102168038487,19
energy_ratio,launch,extra_trees,sradv1::reduce,1640,26,0.49697169102728367,0.252657616045326,9.717600617127923,19
energy_ratio,launch,extra_trees,sradv1::srad,1640,26,0.49569083913229406,0.2261300419922918,8.697309307395837,19
energy_ratio,launch,extra_trees,sradv1::srad2,1640,26,0.4900283270981163,0.24268962512724102,9.334216351047733,19
energy_ratio,launch,extra_trees,streamcluster::computecost,1640,26,0.504114834126085,0.25697209616191685,9.883542160073725,19
energy_ratio,launch,extra_trees,syr2k::syr2kkernel,1640,26,0.5205523690674454,0.254587217932567,9.7918160743295,19
energy_ratio,launch,extra_trees,syrk::syrkkernel,1641,25,0.5353603099938482,0.24260400282219052,9.704160112887621,19
energy_ratio,launch,xgboost,2dconv::convolution2dkernel,1640,26,1.0268528149463236,0.0032824580557644367,0.12624838676017064,19
energy_ratio,launch,xgboost,2mm::mm2kernel1,1641,25,1.2247793979477137,0.003217626130208373,0.12870504520833492,19
energy_ratio,launch,xgboost,2mm::mm2kernel2,1640,26,1.1496193169150501,0.003267458872869611,0.12567149511036962,19
energy_ratio,launch,xgboost,3mm::mm3kernel1,1641,25,0.7996554810088128,0.020208562957122922,0.8083425182849169,19
energy_ratio,launch,xgboost,3mm::mm3kernel2,1640,26,2.24719591694884,0.019021883141249418,0.7316108900480545,19
energy_ratio,launch,xgboost,3mm::mm3kernel3,1640,26,2.838721149135381,0.01933224918320775,0.7435480455079904,19
energy_ratio,launch,xgboost,atax::ataxkernel1,1640,26,2.8948286739178,0.01949068484827876,0.7496417249337985,19
energy_ratio,launch,xgboost,atax::ataxkernel2,1640,26,1.9110166497994214,0.009944643825292587,0.3824863009727918,19
energy_ratio,launch,xgboost,bicg::bicgkernel1,1640,26,1.0547458021901548,0.003235389944165945,0.12443807477561326,19
energy_ratio,launch,xgboost,bicg::bicgkernel2,1641,25,0.6768980899360031,0.003092029131948948,0.12368116527795793,19
energy_ratio,launch,xgboost,correlation::corrkernel,1641,25,0.6510400241240859,0.0031832701060920954,0.12733080424368382,19
energy_ratio,launch,xgboost,correlation::meankernel,1640,26,1.035619798116386,0.003997650928795338,0.15375580495366684,19
energy_ratio,launch,xgboost,correlation::reducekernel,1640,26,0.7012926421593875,0.019338113954290748,0.7437736136265671,19
energy_ratio,launch,xgboost,correlation::stdkernel,1640,26,0.6982564679346979,0.003199092112481594,0.12304200432621516,19
energy_ratio,launch,xgboost,covariance::covarkernel,1641,25,1.0003937149886042,0.0032580189872533083,0.13032075949013233,19
energy_ratio,launch,xgboost,covariance::meankernel,1641,25,0.6790084731765091,0.003317737951874733,0.13270951807498932,19
energy_ratio,launch,xgboost,covariance::reducekernel,1640,26,0.7585676049347967,0.01984568778425455,0.7632956840097904,19
energy_ratio,launch,xgboost,doitgen::kernel1,1641,25,1.0940097209531814,0.00311936903744936,0.1247747614979744,19
energy_ratio,launch,xgboost,doitgen::kernel2,1640,26,0.649197171907872,0.0031283299904316664,0.12032038424737178,19
